File,Line,Index,Context
100_Greatest_Romanians.html,45,451,"3/Mari_romani_logo-tv.jpg 2x"" data-file-width=""373"" data-file-he"
100_Greatest_Romanians.html,45,473,"jpg 2x"" data-file-width=""373"" data-file-height=""228"" /></a>"
100_Greatest_Romanians.html,52,547,"n_cel_Mare_%282004%29.jpg 2x"" data-file-width=""640"" data-file-he"
100_Greatest_Romanians.html,52,569,"jpg 2x"" data-file-width=""640"" data-file-height=""416"" /></a>"
100_Greatest_Romanians.html,261,40,"d=""catlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-no"
100_Greatest_Romanians.html,344,1039,"ase""><a href=""https://www.wikidata.org/wiki/Q251552"" title=""Link"
100_Greatest_Romanians.html,344,1087,"552"" title=""Link to connected data repository item [g]"" accesske"
100_Greatest_Romanians.html,344,1131,"y item [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite"">"
100_Greatest_Romanians.html,361,125,"ink""><a href=""https://www.wikidata.org/wiki/Q251552#sitelinks-wi"
104th_Logistic_Support_Brigade_(United_Kingdom).html,49,325,"jpg"" width=""190"" height=""101"" data-file-width=""190"" data-file-he"
104th_Logistic_Support_Brigade_(United_Kingdom).html,49,347,"t=""101"" data-file-width=""190"" data-file-height=""101"" /></a></td>"
104th_Logistic_Support_Brigade_(United_Kingdom).html,57,460,"he_United_Kingdom.svg.png 2x"" data-file-width=""1200"" data-file-h"
104th_Logistic_Support_Brigade_(United_Kingdom).html,57,483,"ng 2x"" data-file-width=""1200"" data-file-height=""600"" />&#160;</s"
104th_Logistic_Support_Brigade_(United_Kingdom).html,61,463,"_the_British_Army.svg.png 2x"" data-file-width=""675"" data-file-he"
104th_Logistic_Support_Brigade_(United_Kingdom).html,61,485,"png 2x"" data-file-width=""675"" data-file-height=""450"" />&#160;</s"
104th_Logistic_Support_Brigade_(United_Kingdom).html,170,40,"d=""catlinks"" class=""catlinks"" data-mw=""interface""><div id=""mw-no"
104th_Logistic_Support_Brigade_(United_Kingdom).html,253,1139,"ase""><a href=""https://www.wikidata.org/wiki/Q4546542"" title=""Lin"
104th_Logistic_Support_Brigade_(United_Kingdom).html,253,1188,"542"" title=""Link to connected data repository item [g]"" accesske"
104th_Logistic_Support_Brigade_(United_Kingdom).html,253,1232,"y item [g]"" accesskey=""g"">Wikidata item</a></li><li id=""t-cite"">"
104th_Logistic_Support_Brigade_(United_Kingdom).html,270,124,"ink""><a href=""https://www.wikidata.org/wiki/Q4546542#sitelinks-w"
16th_Virginia_Infantry.html,49,624,"f_Virginia_%281861%29.png 2x"" data-file-width=""800"" data-file-he"
16th_Virginia_Infantry.html,49,646,"png 2x"" data-file-width=""800"" data-file-height=""480"" /></a>"
16th_Virginia_Infantry.html,63,744,"merica_%281865%29.svg.png 2x"" data-file-width=""900"" data-file-he"
16th_Virginia_Infantry.html,63,766,"png 2x"" data-file-width=""900"" data-file-height=""600"" /></a></spa"
16th_Virginia_Infantry.html,94,303,".svg/24px-PD-icon.svg.png 2x"" data-file-width=""196"" data-file-he"
16th_Virginia_Infantry.html,94,325,"png 2x"" data-file-width=""196"" data-file-height=""196"" />&#160;Thi"
